Outlier_Random,Article,UniqueUser,totalRevisions,Ratio,Article_Date
Random,Abner_Doubleday,5,29,0.1724,2007-02-05
Outlier,Abortion,19,182,0.1044,2005-06-17
Random,Afghan,6,25,0.24,2006-11-08
Random,Alabama,6,32,0.1875,2006-05-26
Random,Albert_Einstein,12,101,0.1188,2007-03-14
Outlier,Albert_Einstein,10,92,0.1087,2007-03-14
Random,Albinism,6,42,0.1429,2006-12-08
Outlier,Alcoholics_Anonymous,4,174,0.023,2007-11-08
Random,Amoeba,4,15,0.2667,2007-03-15
Random,Ampere,6,11,0.5455,2006-10-23
Outlier,Anarchism,24,312,0.0769,2005-12-09
Outlier,Anarcho-capitalism,72,138,0.5217,2005-09-09
Random,Anaximander,2,30,0.0667,2007-02-25
Random,Andrew_S._Tanenbaum,6,14,0.4286,2002-08-07
Random,Antarctic_Treaty_System,8,20,0.4,2007-10-21
Random,Apollo_11,4,34,0.1176,2007-07-17
Random,AppleTalk,2,10,0.2,2004-09-14
Random,Architectural_style,1,13,0.0769,2003-07-28
Random,Argument_from_evolution,9,94,0.0957,2006-02-12
Outlier,Ark_of_the_Covenant,3,100,0.03,2005-08-26
Outlier,Arsenal_F.C.,81,152,0.5329,2005-11-07
Random,Aston_Martin,12,23,0.5217,2007-03-12
Outlier,Astrology,13,119,0.1092,2006-07-05
Random,Astronaut,4,31,0.129,2006-07-04
Random,Astronomical_unit,5,13,0.3846,2007-03-05
Random,Atari_2600,7,17,0.4118,2007-11-13
Outlier,Augusto_Pinochet,92,143,0.6434,2006-12-11
Outlier,Autism,73,107,0.6822,2005-08-24
Random,AutoCAD,5,13,0.3846,2007-05-25
Random,Bach_(disambiguation),3,10,0.3,2004-06-23
Random,Background_radiation,2,13,0.1538,2007-02-16
Outlier,Barnard's_Star,145,266,0.5451,2007-10-18
Outlier,Batman_(1989_film),6,127,0.0472,2007-08-31
Random,Battle_of_Stalingrad,23,33,0.697,2007-02-02
Random,Benelux,2,14,0.1429,2005-04-05
Random,Berlin,7,87,0.0805,2006-04-02
Random,Bestiality,1,10,0.1,2006-07-09
Random,Big_Bang,38,71,0.5352,2005-02-23
Outlier,Bipolar_disorder,6,217,0.0276,2006-04-05
Outlier,Black_hole,50,81,0.6173,2004-09-23
Outlier,Black_people,14,118,0.1186,2006-10-08
Outlier,Blaise_Pascal,62,78,0.7949,2005-08-19
Outlier,Blitzkrieg,74,109,0.6789,2005-09-29
Outlier,Blue_Angels,49,122,0.4016,2007-04-22
Random,Brigitte_Bardot,7,13,0.5385,2007-04-29
Outlier,Britney_Spears,30,95,0.3158,2006-11-23
Random,Cable_car_(railway),3,24,0.125,2004-12-30
Outlier,Caffeine,96,147,0.6531,2006-09-16
Outlier,Cane_Toad,78,123,0.6341,2006-08-15
Outlier,Capitalism,12,206,0.0583,2006-06-26
Outlier,Cat,106,159,0.6667,2005-09-05
Random,Cathode,1,23,0.0435,2006-03-29
Random,Cauchy_sequence,1,12,0.0833,2006-05-07
Random,Chiba_Prefecture,2,17,0.1176,2003-03-22
Outlier,Chicago_White_Sox,56,102,0.549,2005-10-27
Outlier,Christmas,110,212,0.5189,2005-12-25
Outlier,Christopher_Columbus,68,109,0.6239,2006-10-09
Outlier,Claudius,2,108,0.0185,2005-11-29
Outlier,Comet_Shoemaker-Levy_9,95,141,0.6738,2005-11-15
Random,Commodore_64,3,14,0.2143,2005-10-09
Outlier,Condom,17,94,0.1809,2005-12-26
Random,Connective,3,14,0.2143,2002-09-08
Outlier,Cyberpunk,120,195,0.6154,2005-11-29
Random,DC_Comics,9,16,0.5625,2007-06-10
Outlier,Deaths_in_2003,25,109,0.2294,2001-12-29
Random,December_10,32,46,0.6957,2007-12-10
Random,December_25,37,52,0.7115,2006-12-25
Random,Demon,6,26,0.2308,2006-03-27
Random,Detroit_Red_Wings,10,19,0.5263,2006-08-24
Outlier,Diamond,56,91,0.6154,2005-05-11
Outlier,Dianetics,6,29,0.2069,2007-02-02
Random,Diesel_engine,3,12,0.25,2007-01-07
Outlier,Dinosaur,84,106,0.7925,2006-01-01
Random,Diocletian,12,17,0.7059,2005-11-20
Outlier,DNA,139,260,0.5346,2007-02-13
Outlier,Doctor_Who,46,88,0.5227,2004-12-16
Outlier,Donald_Rumsfeld,141,306,0.4608,2006-11-08
Outlier,Down_syndrome,282,533,0.5291,2006-12-05
Random,Eastern_Orthodox_Church,6,19,0.3158,2007-08-21
Random,Edgar_Rice_Burroughs,1,17,0.0588,2007-10-08
Outlier,Eight_queens_puzzle,4,22,0.1818,2002-01-15
Random,Elliptic_integral,2,14,0.1429,2005-02-06
Random,Esperanto_grammar,2,38,0.0526,2004-02-14
Random,F-117_Nighthawk,4,10,0.4,2007-02-02
Random,Federal_Bureau_of_Investigation,4,28,0.1429,2006-06-15
Outlier,Fermi_paradox,63,102,0.6176,2005-01-13
Outlier,Freemasonry,12,89,0.1348,2006-02-03
Random,Functional_programming,4,48,0.0833,2006-05-28
Outlier,Fundamental_Dimensions,4,15,0.2667,2001-12-08
Outlier,Game_theory,98,161,0.6087,2006-01-13
Random,German_cuisine,2,18,0.1111,2004-06-10
Outlier,Glycerine,8,34,0.2353,2003-08-26
Random,Group_sex,3,11,0.2727,2003-05-09
Outlier,Henry_Ford,20,33,0.6061,2007-03-01
Outlier,History_of_China,3,88,0.0341,2003-05-30
Random,History_of_Germany,2,15,0.1333,2005-03-21
Outlier,History_of_Russia,37,87,0.4253,2005-02-15
Outlier,Human,6,39,0.1538,2001-12-27
Random,Impressionism,3,16,0.1875,2006-09-26
Random,Inca_Empire,9,23,0.3913,2007-05-11
Outlier,Intelligent_design,31,121,0.2562,2005-12-21
Random,Interlingua,3,18,0.1667,2005-11-17
Outlier,Jim_Morrison,11,33,0.3333,2006-03-01
Random,Joseph_Conrad,2,11,0.1818,2003-04-13
Random,Kangaroo,3,13,0.2308,2006-01-28
Outlier,Kilogram,3,16,0.1875,2003-04-04
Random,Lagrange_equations,2,15,0.1333,2001-12-10
Random,Laura_Bush,6,12,0.5,2007-03-16
Random,List_of_Latin_phrases,2,26,0.0769,2002-01-05
Outlier,Loch_Ness_Monster,5,31,0.1613,2003-02-05
Random,London_Heathrow_Airport,8,10,0.8,2007-12-10
Outlier,March_1,1,87,0.0115,2004-07-27
Outlier,Mathematical_economics,2,14,0.1429,2002-04-28
Random,Methylenedioxymethamphetamine,5,30,0.1667,2007-11-01
Outlier,Nikola_Tesla,1,47,0.0213,2003-08-08
Random,Nudity,5,15,0.3333,2003-04-13
Outlier,October_2003,22,58,0.3793,2003-08-14
Random,Opera_(browser),6,37,0.1622,2004-04-01
Outlier,People's_Republic_of_China,7,91,0.0769,2006-04-14
Outlier,Pit_Bull,4,13,0.3077,2003-04-11
Random,Psychedelic,5,17,0.2941,2003-05-15
Random,Racism,6,26,0.2308,2002-11-26
Random,Rochester_Institute_of_Technology,2,10,0.2,2002-09-08
Outlier,Scriptures,2,30,0.0667,2001-11-01
Random,Series_(mathematics),1,10,0.1,2006-03-01
Outlier,The_Ashes,62,106,0.5849,2005-07-21
Outlier,The_Cure,1,37,0.027,2003-01-09
Random,Warmia,6,13,0.4615,2002-08-04
Outlier,Wikipedia_bugs,3,4,0.75,2002-01-08
Outlier,World_Trade_Center/Plane_crash,8,34,0.2353,2001-09-11
