Name,Count
George_W._Bush,38948
Wikipedia,26740
United_States,22467
World_Wrestling_Entertainment_roster,20838
Wii,18984
Jesus,18818
Deaths_in_2007,18124
World_War_II,17906
Adolf_Hitler,17180
2006_Lebanon_War,17019
RuneScape,16537
PlayStation_3,15512
Hurricane_Katrina,15440
Britney_Spears,15048
Islam,14580
India,14445
Deaths_in_2006,14011
Global_warming,13931
Michael_Jackson,13903
Christianity,13521
Canada,13005
Anarchism,12979
United_Kingdom,12934
The_Beatles,12908
Japan,12806
Xbox_360,12677
Muhammad,12624
Akatsuki_(Naruto),12623
New_York_City,12604
Ronald_Reagan,12456
Eminem,12349
"September_11,_2001_attacks",12156
2006_FIFA_World_Cup,11806
Bill_Clinton,11776
John_Cena,11770
Germany,11685
John_Kerry,11598
Iran,11549
Cannabis_(drug),11532
Beyoncu00e9_Knowles,11528
Albert_Einstein,11513
2007,11467
IPod,11388
Israel,11348
Mariah_Carey,11309
The_Undertaker,11251
Harry_Potter_and_the_Deathly_Hallows,11210
Scientology,11190
Elvis_Presley,11185
World_War_I,11086
Super_Smash_Bros._Brawl,10871
Jehovah's_Witnesses,10843
Evolution,10726
Harry_Potter,10689
Organization_XIII,10689
Hinduism,10679
World_Wrestling_Entertainment,10673
Lost_(TV_series),10650
Saddam_Hussein,10525
Green_Day,10347
List_of_ethnic_slurs,10343
Intelligent_design,10298
Pope_Benedict_XVI,10185
Ann_Coulter,10175
Triple_H,10164
William_Shakespeare,10107
European_Union,10096
Bill_Gates,10056
Virginia_Tech_massacre,10045
Halo_3,10033
Star_Wars,10025
Metallica,9917
South_Park,9887
Wiki,9873
Madonna_(entertainer),9840
The_Simpsons,9834
List_of_experiments_from_Lilo_&_Stitch,9826
The_Holocaust,9792
Red_Hot_Chili_Peppers,9785
Christina_Aguilera,9770
50_Cent,9754
George_Washington,9698
List_of_Omnitrix_aliens,9692
List_of_best-selling_music_artists,9684
Joseph_Stalin,9626
Pakistan,9624
Hilary_Duff,9603
Led_Zeppelin,9588
2004_Indian_Ocean_earthquake,9564
2006,9549
Fidel_Castro,9533
England,9506
Vietnam_War,9405
Osama_bin_Laden,9386
Greece,9364
Australia,9344
Turkey,9283
Cat,9251
Tony_Blair,9202
Manchester_United_F.C.,9162
Paris_Hilton,9151
Kingdom_Hearts_II,9134
Homosexuality,9112
God,9073
Brazil,8924
America's_Next_Top_Model,8906
PlayStation_Portable,8878
Pope_John_Paul_II,8862
Windows_Vista,8849
Buddhism,8838
John_F._Kennedy,8805
Abortion,8767
Italy,8677
Abraham_Lincoln,8665
Iraq_War,8652
Jyllands-Posten_Muhammad_cartoons_controversy,8643
France,8627
Mexico,8571
Real_Madrid_C.F.,8531
Blackout_(Britney_Spears_album),8529
Hugo_Chu00e1vez,8495
Batman,8492
Leet,8457
Russia,8433
Roger_Federer,8416
China,8380
Lindsay_Lohan,8361
Cuba,8358
Liverpool_F.C.,8332
Kobe_Bryant,8329
Ireland,8318
The_Legend_of_Zelda:_Twilight_Princess,8314
Bill_O'Reilly_(commentator),8259
Atheism,8255
24_(TV_series),8242
Heroes_(TV_series),8227
Celtic_F.C.,8221
London,8197
Mario,8196
Linkin_Park,8184
Sonic_the_Hedgehog_(character),8145
Chicago,8138
Microsoft,8125
World_of_Warcraft,8124
Shadow_the_Hedgehog,8111
Michael_Jordan,8104
Earth,8074
9/11_conspiracy_theories,8069
Spain,8067
Superman,8062
Racism,8056
Terri_Schiavo,8055
Dog,8049
Avatar:_The_Last_Airbender,8038
Philippines,8033
MapleStory,8010
2007_in_music,7992
Toronto,7987
"United_States_presidential_election,_2008",7975
Tupac_Shakur,7937
Paul_McCartney,7904
Hillary_Rodham_Clinton,7904
The_Game_(rapper),7845
Poku00e9mon,7798
Guns_N'_Roses,7765
FC_Barcelona,7765
Google,7758
American_Civil_War,7706
Spider-Man,7694
Dave_Bautista,7682
Neighbours,7659
Neuro-linguistic_programming,7604
Hezbollah,7604
Mohandas_Karamchand_Gandhi,7592
David_Beckham,7571
Che_Guevara,7563
Adam_Copeland,7559
Shawn_Michaels,7532
Wal-Mart,7467
Ku_Klux_Klan,7442
Hulk_Hogan,7438
Great_Depression,7432
Kurt_Cobain,7422
2005_Atlantic_hurricane_season,7417
"Martin_Luther_King,_Jr.",7408
Association_football,7404
Scotland,7400
The_Suite_Life_of_Zack_&_Cody,7383
Naruto_Uzumaki,7379
Barry_Bonds,7375
Kurt_Angle,7371
Spider-Man_3,7345
Freddie_Mercury,7342
Jennifer_Lopez,7330
Randy_Orton,7316
Tsunami,7304
Transformers_(film),7281
Roman_Catholic_Church,7277
Genghis_Khan,7273
Darth_Vader,7273
Pink_Floyd,7271
Naruto,7244
People's_Republic_of_China,7206
Capitalism,7190
Communism,7166
September_2005,7146
Neopets,7141
Friends,7134
Republican_Party_(United_States),7103
Radiohead,7100
Sweden,7097
Barack_Obama,7094
Family_Guy,7083
Kelly_Clarkson,7061
High_School_Musical,7060
Emo,7059
Christopher_Columbus,7051
Son_Goku_(Dragon_Ball),7048
SpongeBob_SquarePants,7044
MySpace,7030
Oscar_Gutierrez,7020
Alexander_the_Great,7001
White_people,6983
RMS_Titanic,6974
New_Zealand,6962
Democratic_Party_(United_States),6961
Solar_System,6954
G-Unit,6924
My_Chemical_Romance,6918
"Los_Angeles,_California",6909
Al_Gore,6901
Democracy,6894
Avril_Lavigne,6892
James_Bond,6885
McDonald's,6857
Asperger_syndrome,6855
The_Church_of_Jesus_Christ_of_Latter-day_Saints,6852
Glen_Jacobs,6849
Christmas,6821
Jimmy_Wales,6812
Fuck,6797
Martin_Luther,6795
Puerto_Rico,6786
Nintendo_DS,6780
Leonardo_da_Vinci,6774
Julius_Caesar,6765
Sonic_the_Hedgehog_(2006_game),6747
"Houston,_Texas",6746
Doctor_Who,6723
Singapore,6718
President_of_the_United_States,6717
"San_Francisco,_California",6715
Freemasonry,6715
Internet,6677
Heavy_metal_music,6667
Attack_on_Pearl_Harbor,6661
Thomas_and_Friends_video_releases,6648
Dick_Cheney,6643
Gay,6637
Fall_Out_Boy,6625
Home_and_Away,6622
Linux,6618
Thomas_Edison,6618
Paris,6617
Winston_Churchill,6616
Romania,6607
Apple_Inc.,6603
Elizabeth_II_of_the_United_Kingdom,6554
Arsenal_F.C.,6546
Charles_Darwin,6546
Jessica_Simpson,6543
Argentina,6528
AIDS,6517
War_of_1812,6483
Mozilla_Firefox,6482
Football,6481
Jew,6480
Homer_Simpson,6472
Amy_Dumas,6458
Jimi_Hendrix,6455
Queen_(band),6448
U2,6442
John_Howard,6420
System_of_a_Down,6408
Poland,6396
Spells_in_Harry_Potter,6388
Portugal,6386
2003_invasion_of_Iraq,6370
Theodore_Roosevelt,6363
LeBron_James,6360
Texas,6359
Punk_rock,6353
Europe,6351
7_July_2005_London_bombings,6350
Slipknot_(band),6329
Elizabeth_I_of_England,6322
Spice_Girls,6316
North_Korea,6309
Penis,6308
Coca-Cola,6294
Korn,6294
Bruce_Lee,6282
Race_and_intelligence,6279
The_Rock_(entertainer),6279
Shahrukh_Khan,6261
Harry_Potter_and_the_Half-Blood_Prince,6250
"Ed,_Edd_n_Eddy",6249
Borat,6243
Hippie,6229
AC/DC,6227
Black_people,6205
Chris_Benoit,6198
Blink-182,6184
Cheese,6183
Moon,6175
Lebanon,6174
List_of_Wii_games,6171
Circumcision,6161
John_Lennon,6160
Arnold_Schwarzenegger,6129
Afghanistan,6124
Super_Saiyan,6123
Isaac_Newton,6118
Industrial_Revolution,6105
Newcastle_United_F.C.,6105
Warriors_(novel_series),6098
Spanish_language,6096
Boston_Red_Sox,6091
American_Idol,6087
Richard_Nixon,6079
List_of_best-selling_video_games,6058
Internet_slang,6051
Al-Qaeda,6049
Tottenham_Hotspur_F.C.,6043
Armenian_Genocide,6030
Gears_of_War,6028
Chelsea_F.C.,6024
Opus_Dei,6016
Trish_Stratus,6011
Super_Smash_Bros._Melee,6008
Rush_Limbaugh,6006
Nigger,5989
Solar_energy,5978
Pornography,5970
Halo_2,5968
Kanye_West,5966
Hannah_Montana,5962
Hong_Kong,5960
Palpatine,5960
Cold_War,5959
Rangers_F.C.,5958
Iraq,5945
Happy_Tree_Friends_series_(explicit),5942
Futurama,5940
Ashlee_Simpson,5938
Counter-Strike,5937
2006_in_music,5918
Bob_Dylan,5916
English_language,5915
Ashley_Tisdale,5911
Basketball,5904
Curtis_(50_Cent_album),5890
Korean_War,5889
Jack_Thompson_(attorney),5880
Casino_Royale_(2006_film),5866
"Detroit,_Michigan",5865
Johnny_Depp,5855
Jeff_Hardy,5845
New_York_Yankees,5842
California,5841
The_O.C.,5825
Pluto,5821
Facebook,5816
Napoleon_I_of_France,5813
Thomas_Jefferson,5812
Cocaine,5807
Vietnam,5806
Sasuke_Uchiha,5797
Characters_of_Lost,5796
Ron_Paul,5794
Ajax_(programming),5789
Podcast,5776
Masturbation,5771
Mahmoud_Ahmadinejad,5760
List_of_Zatch_Bell!_characters,5760
Feminism,5755
French_Revolution,5743
Mobile_phone,5730
X-Men:_The_Last_Stand,5717
Black_Death,5715
People_for_the_Ethical_Treatment_of_Animals,5713
Harry_Potter_(character),5706
Homeopathy,5705
2005,5704
Rome,5704
Angels_&_Airwaves,5700
Korea,5685
Star_Wars_Episode_III:_Revenge_of_the_Sith,5683
George_H._W._Bush,5682
Columbine_High_School_massacre,5681
Lost_(season_2),5681
Dragon_Ball_Z,5679
Creationism,5675
Kosovo,5665
Montreal,5662
Socialism,5661
Big_Brother_8_(U.S.),5660
Bleach_(manga),5659
Stephen_Colbert,5656
Chile,5642
Nintendo,5639
Serbia,5629
Fox_News_Channel,5628
Dominican_Republic,5614
Transhumanism,5602
Xbox,5597
Nazism,5595
List_of_Naruto_characters,5590
List_of_Internet_phenomena,5589
American_football,5587
South_Korea,5575
Shakira,5568
List_of_recurring_characters_from_The_Simpsons,5565
Baseball,5558
South_Africa,5554
War_on_Terrorism,5551
Ottoman_Empire,5549
Muhammad_Ali,5543
Star_Trek,5543
Hamas,5536
Blog,5532
Jerusalem,5529
Vegetarianism,5527
Carrie_Underwood,5526
Wolfgang_Amadeus_Mozart,5512
Qur'an,5496
Anime,5495
Chav,5483
Jimmy_Carter,5481
Aishwarya_Rai,5480
Crusades,5480
Cars_(film),5471
The_Great_Khali,5470
Hawaii,5469
Land_of_Sound,5457
Peru,5456
Bible,5455
Zinedine_Zidane,5455
Eddie_Guerrero,5452
Nikola_Tesla,5449
Berlin,5440
Tom_Cruise,5432
Oasis_(band),5429
Nelson_Mandela,5414
List_of_Doctor_Who_serials,5407
Antisemitism,5401
Veganism,5395
The_Lord_of_the_Rings,5378
Poku00e9mon_Diamond_and_Pearl,5376
Nuclear_power,5373
Thierry_Henry,5365
Terrorism,5363
Human,5355
British_National_Party,5351
List_of_comic_book_superpowers,5346
Television,5345
Seinfeld,5342
Franklin_D._Roosevelt,5339
Romeo_and_Juliet,5336
Steve_Irwin,5332
"Washington,_D.C.",5332
Autism,5323
"New_Orleans,_Louisiana",5319
Manchester,5314
SpongeBob_SquarePants_(character),5314
American_Revolutionary_War,5313
Janet_Jackson,5308
Religion,5303
Guitar_Hero_II,5297
Indonesia,5286
Nirvana_(band),5286
Slavery,5285
Iron_Maiden,5267
Total_Nonstop_Action_Wrestling_roster,5256
Gerald_Ford,5249
Culturally_significant_words_and_phrases_from_The_Simpsons,5249
Stephen_Harper,5239
1991,5233
England_national_football_team,5229
Love,5228
Egypt,5226
Golf,5224
The_Legend_of_Zelda_(series),5224
Phenyltropane,5222
Pirates_of_the_Caribbean:_At_World's_End,5219
Brad_Pitt,5219
Jay-Z,5218
Melina_Perez,5187
Charles_Manson,5181
Jupiter,5171
Aristotle,5165
Netherlands,5158
Thomas_and_Friends_-_Season_1,5154
Power_Rangers:_Mystic_Force,5152
"Joseph_Smith,_Jr.",5150
Sydney,5150
Sexual_slang,5143
Automobile,5141
Gaia_Online,5136
Bangladesh,5129
Mel_Gibson,5127
Michael_Schumacher,5115
Physics,5115
Norway,5110
Mars,5110
The_Fairly_OddParents,5107
United_States_Constitution,5101
Howard_Stern,5100
Birmingham,5097
Tropical_cyclone,5095
The_Used,5091
Vincent_van_Gogh,5088
Falun_Gong,5086
Bone_Thugs-n-Harmony,5080
Nazi_Germany,5079
Chess,5078
October_2003,5074
Avenged_Sevenfold,5070
Halloween,5066
Mother_Teresa,5062
List_of_sex_positions,5061
Venezuela,5054
Vince_McMahon,5048
Emo_(slang),5048
Belgium,5045
Africa,5045
Computer,5044
Shaquille_O'Neal,5043
Water,5042
Gulf_War,5035
List_of_social_networking_websites,5022
Gwen_Stefani,5010
Video_game,5009
J._K._Rowling,5005
Karl_Marx,5001
John_F._Kennedy_assassination,5000
Libertarianism,4983
1990,4981
Republic_of_Macedonia,4979
The_Colbert_Report,4977
Fascism,4972
List_of_Puerto_Ricans,4971
Airsoft,4971
The_Sims_2,4966
"Diana,_Princess_of_Wales",4964
List_of_characters_from_Family_Guy,4958
The_Rolling_Stones,4954
Yasser_Arafat,4954
Finland,4950
Albus_Dumbledore,4940
Jack_Sparrow,4932
Athens,4930
Benito_Mussolini,4928
African_American,4926
Same-sex_marriage,4925
Anal_sex,4920
Desperate_Housewives,4891
Margaret_Thatcher,4887
IPhone,4877
Habbo_Hotel,4875
Cyprus,4875
Central_Intelligence_Agency,4873
Prostitution,4872
Harry_S._Truman,4868
Philosophy,4860
Wolverine_(comics),4856
Macintosh,4851
Drake_&_Josh,4849
Eric_Cartman,4848
GameFAQs,4841
Sri_Lanka,4834
Harry_Potter_and_the_Order_of_the_Phoenix_(film),4832
Billie_Joe_Armstrong,4832
Lance_Armstrong,4829
Vancouver,4823
Sex,4820
New_Jersey,4819
Marilyn_Monroe,4818
Feces,4818
Link_(The_Legend_of_Zelda),4814
Joan_of_Arc,4812
Soviet_Union,4812
Battle_of_Normandy,4812
Mitt_Romney,4804
Rihanna,4800
Rape,4799
Tiger_Woods,4798
Ludwig_van_Beethoven,4794
Michael_Moore,4792
WWE_Raw,4789
Atomic_bombings_of_Hiroshima_and_Nagasaki,4788
Pi,4786
Cindy_Sheehan,4785
Sakura_Haruno,4782
Pearl_Jam,4776
High_School_Musical_2,4775
Friedrich_Nietzsche,4773
Oprah_Winfrey,4770
Ciara,4770
Brokeback_Mountain,4770
List_of_characters_in_Camp_Lazlo,4768
List_of_minor_Naruto_characters,4764
Vegeta,4761
Charmed,4757
Anarcho-capitalism,4755
Alexander_Hamilton,4755
Emma_Watson,4752
InuYasha,4752
Nuclear_weapon,4751
Britney_Spears_discography,4747
Aston_Villa_F.C.,4747
Benjamin_Franklin,4745
Apollo_Moon_Landing_hoax_accusations,4744
Big_Brother_2006_(UK),4736
Capital_punishment,4728
Scrubs_(TV_series),4724
Condoleezza_Rice,4722
PHP,4721
Transnistria,4719
Stone_Cold_Steve_Austin,4718
Marilyn_Manson,4717
Nicolaus_Copernicus,4711
Vanessa_Anne_Hudgens,4711
Nas,4700
Daniel_Radcliffe,4697
Fergie_(singer),4693
Vladimir_Putin,4692
Edgar_Allan_Poe,4689
New_York,4687
Tiger,4684
Music,4678
Lion,4677
The_Elder_Scrolls_IV:_Oblivion,4674
Sun,4668
Black_hole,4666
1992,4663
List_of_SpongeBob_SquarePants_episodes,4663
Godzilla,4661
Lil_Wayne,4658
Halo:_Combat_Evolved,4649
Whitney_Houston,4647
Zune,4646
Mathematics,4646
Noam_Chomsky,4645
Mao_Zedong,4643
Beer,4643
Henry_VIII_of_England,4639
Calvin_and_Hobbes,4634
Colombia,4629
Mark_Twain,4628
Andy_Warhol,4627
Money,4625
Astrology,4624
WrestleMania_23,4621
Lord_Voldemort,4621
"Seattle,_Washington",4615
Opie_and_Anthony,4610
United_Nations,4606
"America's_Next_Top_Model,_Cycle_9",4605
Ethiopia,4604
List_of_Barney_&_Friends_episodes_and_videos,4603
Hulk_(comics),4600
Albania,4598
Final_Fantasy_VII,4595
Augusto_Pinochet,4589
V_for_Vendetta_(film),4588
Flying_Spaghetti_Monster,4587
Airbus_A380,4586
Cunt,4585
Jesse_McCartney,4581
Down_syndrome,4577
Tobacco_smoking,4574
The_Simpsons_Movie,4573
Ash_Ketchum,4573
Marvel:_Ultimate_Alliance,4571
Ulysses_S._Grant,4568
Graffiti,4568
Chiropractic,4559
"Boston,_Massachusetts",4558
Sudoku,4558
List_of_ninjutsu_in_Naruto_(S-Z),4556
Halo_(series),4554
Wales,4554
"""Weird_Al""_Yankovic",4554
West_Ham_United_F.C.,4547
Bird,4547
Club_Penguin,4543
Superpower,4543
Matt_Hardy,4542
Nine_Inch_Nails,4537
History_of_South_Africa_in_the_Apartheid_era,4531
Viking,4530
Aztec,4528
Smallville_(TV_series),4527
Guitar,4527
Yu-Gi-Oh!,4525
Rob_Van_Dam,4525
Johnny_Cash,4524
Roman_Empire,4521
List_of_characters_in_Heroes,4520
Pulp_Fiction_(film),4516
Professional_wrestling_throws,4514
Rush_(band),4512
Robert_E._Lee,4511
Renaissance,4511
FIFA_World_Cup,4508
Dwyane_Wade,4508
Zionism,4508
Ashanti_(singer),4503
1989,4503
Meaning_of_life,4499
Philadelphia,4498
Uranus,4497
Severus_Snape,4490
Fat,4485
Rapping,4473
Romani_people,4470
Snoop_Dogg,4470
Judaism,4468
National_Football_League,4467
Tool_(band),4464
Superman_Returns,4462
Pablo_Picasso,4453
Chocolate,4452
Galileo_Galilei,4452
Grand_Theft_Auto:_San_Andreas,4447
Ukraine,4447
Vladimir_Lenin,4444
United_States_Declaration_of_Independence,4437
Venom_(Eddie_Brock),4435
Piracy,4432
Big_Bang,4428
Films_considered_the_worst_ever,4421
Malaysia,4418
Paul_Wight,4414
Alexander_Graham_Bell,4414
House_(TV_series),4412
StarCraft,4410
Simple_Plan,4407
PlayStation_2,4402
Armenia,4402
EBay,4400
"List_of_gay,_lesbian_or_bisexual_people",4400
L._Ron_Hubbard,4398
Chennai,4396
"Atlanta,_Georgia",4396
Bangalore,4395
Mumbai,4395
The_Sopranos,4394
Kingdom_Hearts,4393
Good_Charlotte,4393
Volcano,4386
Final_Fantasy,4385
Macedonians_(ethnic_group),4378
Booker_Huffman,4374
Vampire,4371
Nigeria,4370
Ninja,4369
Switzerland,4365
History_of_video_game_consoles_(seventh_generation),4364
List_of_gangs_in_the_Grand_Theft_Auto_series,4358
Celine_Dion,4356
Railway_engines_(Thomas_the_Tank_Engine_and_Friends),4352
Costa_Rica,4351
WWE_SmackDown_vs._Raw_2008,4350
Ashley_Massaro,4342
Babe_Ruth,4341
Steve_Nash,4339
Pwn,4335
Doctor's_Advocate,4334
Grand_Theft_Auto_IV,4333
Mormon,4332
Creation-evolution_controversy,4329
Bipolar_disorder,4320
"America's_Next_Top_Model,_Cycle_8",4313
Eragon,4312
Chicago_Cubs,4311
WWE_SmackDown_vs._Raw_2007,4306
United_States_Marine_Corps,4303
Kurdish_people,4301
The_Bill,4297
Back_to_Basics_(Christina_Aguilera_album),4297
Euthanasia,4296
Quebec,4293
Cattle,4292
Kakashi_Hatake,4289
T.I.,4287
1993,4286
One_Piece,4285
Fullmetal_Alchemist,4281
Islamophobia,4278
Schizophrenia,4277
1988,4276
HIM_(band),4274
Evanescence,4271
Chris_Brown_(singer),4271
Denmark,4270
Metal_Gear_Solid_4:_Guns_of_the_Patriots,4270
Lloyd_Banks,4270
Tornado,4269
Characters_of_8-Bit_Theater,4267
Coffee,4267
Ancient_Egypt,4267
Girls_Aloud,4266
Truth,4264
That's_So_Raven,4263
Chernobyl_disaster,4263
Pedophilia,4263
Elton_John,4260
Joseph_McCarthy,4257
War,4257
Brett_Favre,4257
WWE_Friday_Night_SmackDown!,4249
University_of_Michigan,4249
Coldplay,4244
Gaara,4235
Melbourne,4235
Sigmund_Freud,4234
Pink_(singer),4234
Prison_Break,4234
Jamaica,4233
NASCAR,4232
Massively_multiplayer_online_role-playing_game,4231
Charles_Dickens,4229
Ancient_Rome,4228
CM_Punk,4223
Middle_Ages,4223
Portuguese_language,4220
Panic!_at_the_Disco,4220
Robbie_Williams,4219
Blu-ray_Disc,4216
The_Who,4216
Torrie_Wilson,4212
AdventureQuest,4202
J._R._R._Tolkien,4200
Lysergic_acid_diethylamide,4199
Civil_War_(comic_book),4193
Andrew_Jackson,4192
Allegations_of_Israeli_apartheid,4190
Cannabis,4189
Oral_sex,4187
Professional_wrestling_attacks,4182
Obesity,4180
John_McCain,4178
Glasgow,4177
Ernest_Hemingway,4174
Alaska,4168
Zac_Efron,4165
Mike_Tyson,4163
Harvard_University,4159
Wind_power,4153
Dungeons_&_Dragons,4153
Aaliyah,4147
Prem_Rawat,4146
List_of_Harry_Potter_characters,4142
Global_warming_controversy,4137
General_Hospital,4137
Ebionites,4135
Bulgaria,4132
Race_of_ancient_Egyptians,4128
Kim_Jong-il,4122
Breast,4119
300_(film),4118
Guild_Wars_(series),4117
Croatia,4116
Maria_Sharapova,4111
X-Men,4109
Internet_Explorer,4107
Pythagoras,4107
JoJo_(singer),4106
Foster's_Home_for_Imaginary_Friends,4105
Suicide,4105
Arab,4104
Lesbian,4103
Minutes_to_Midnight_(album),4102
Aqua_Teen_Hunger_Force,4097
Wicca,4094
John_Adams,4093
Euro,4092
The_CW_Television_Network,4088
Jazz,4087
Horse,4087
Ben_10,4081
British_Empire,4081
Cartoon_Network,4075
Donald_Trump,4073
Resident_Evil_4,4070
Chuck_Norris,4069
The_Dark_Knight_(film),4068
Brock_Lesnar,4067
Taiwan,4066
Satan,4065
Florida,4063
Gray_Wolf,4062
Polar_bear,4060
Dwight_D._Eisenhower,4056
Thomas_and_Friends_-_Season_2,4054
One_Tree_Hill_(TV_series),4050
Henry_Ford,4048
Dinosaur,4045
Dallas_Cowboys,4043
Chamillionaire,4042
"Minneapolis,_Minnesota",4040
Shia_Islam,4038
Nelly_Furtado,4032
Hermione_Granger,4030
Bob_Marley,4022
Holocaust_denial,4020
EBaum's_World,4019
Byzantine_Empire,4017
Hacker,4014
Karl_Rove,4014
Saturn,4012
List_of_webcomics,4006
Joker_(comics),4001
Super_Mario_Galaxy,4000
Tennis,3999
Toronto_Maple_Leafs,3998
New_York_Mets,3998
Tibet,3997
Kyoto_Protocol,3995
Cricket,3993
Istanbul,3992
Mafia,3987
Republic_of_China,3987
Pussycat_Dolls,3985
Dragon,3984
Diamond,3983
Somalia,3983
Robot,3980
Marriage,3979
List_of_minor_characters_in_One_Piece,3976
Jihad,3975
Nerd,3975
Juventus_F.C.,3971
Windows_XP,3971
Tailed_beasts,3965
List_of_characters_in_The_Simpsons,3964
Main_Page,3961
Poku00e9mon_(anime),3953
Joe_Lieberman,3953
List_of_characters_in_The_Grim_Adventures_of_Billy_and_Mandy,3949
Liberation_Tigers_of_Tamil_Eelam,3945
Kerala,3944
YouTube,3944
List_of_major_Naruto_characters,3941
Prince_(musician),3939
Mustafa_Kemal_Atatu00fcrk,3935
Godzilla:_Unleashed,3935
Chicken,3935
Taj_Mahal,3934
Hamlet,3933
Alex_Rodriguez,3931
Jedi,3929
Ludacris,3929
Nintendo_GameCube,3929
Big_Brother_2007_(UK),3926
Michael_Savage_(commentator),3922
Steven_Spielberg,3922
Iceland,3920
Bradford_Bulls,3919
Snake,3917
Laguna_Beach:_The_Real_Orange_County,3916
Earthquake,3915
Troll_(Internet),3912
Van_Halen,3912
The_Da_Vinci_Code,3912
Pikachu,3912
Pirates_of_the_Caribbean:_Dead_Man's_Chest,3909
Thailand,3909
Saturday_Night_Live,3904
Red_vs._Blue,3903
Neurofunk,3901
Tokyo,3901
Stephen_Hawking,3898
Unidentified_flying_object,3898
Cancer,3898
Zoey_101,3890
Snakes_on_a_Plane,3886
Final_Fantasy_XII,3885
Stem_cell,3883
Northern_Ireland,3878
Lightsaber,3875
Big_Brother_(TV_series),3875
BioShock,3873
Rosa_Parks,3873
Leeds_United_A.F.C.,3871
Ninjutsu_(Naruto),3870
Slayer,3870
Premier_League,3868
